plot;subplot;year;precip;na;sum_salinity;type
5;A6;2016;615.5;3182;0.476;observed
5;B1;2016;615.5;3356;0.703;observed
5;B2;2016;615.5;2972.8;0.539;observed
5;B3;2016;615.5;2555;0.484;observed
5;B4;2016;615.5;2821;0.571;observed
5;B5;2016;615.5;3439;0.599;observed
5;B6;2016;615.5;3502;0.47;observed
5;C1;2016;615.5;2963;0.516;observed
5;C2;2016;615.5;2959;0.467;observed
5;C3;2016;615.5;2880;0.653;observed
5;C4;2016;615.5;3481;0.717;observed
5;C5;2016;615.5;3482;0.556;observed
5;C6;2016;615.5;3496;0.538;observed
5;D1;2016;615.5;3116;0.542;observed
5;D2;2016;615.5;2802;0.44;observed
5;D3;2016;615.5;3295;0.63;observed
5;D4;2016;615.5;3428;0.68;observed
5;D5;2016;615.5;3804;0.967;observed
5;D6;2016;615.5;3025;0.932;observed
5;E1;2016;615.5;3383;0.637;observed
5;E2;2016;615.5;2962;0.633;observed
5;E3;2016;615.5;3967;0.659;observed
5;E4;2016;615.5;3536;0.642;observed
5;E5;2016;615.5;3007;0.527;observed
5;E6;2016;615.5;3592;0.513;observed
5;F1;2016;615.5;3262;0.696;observed
5;F2;2016;615.5;3021.1;0.724;observed
5;F3;2016;615.5;3275;0.756;observed
5;F4;2016;615.5;3033;0.506;observed
5;F5;2016;615.5;2925;0.473;observed
5;F6;2016;615.5;3376;0.576;observed
6;A1;2016;615.5;4403;0.733;observed
6;A2;2016;615.5;3475;0.935;observed
6;A3;2016;615.5;4136;0.797;observed
6;A4;2016;615.5;4017;1.007;observed
6;A5;2016;615.5;3207;0.81;observed
6;A6;2016;615.5;3139;0.714;observed
6;B1;2016;615.5;3868;0.915;observed
6;B2;2016;615.5;4227;0.908;observed
6;B3;2016;615.5;3813;0.826;observed
6;B4;2016;615.5;3990;0.933;observed
6;B5;2016;615.5;3907;0.755;observed
6;B6;2016;615.5;3705;0.78;observed
6;C1;2016;615.5;4071;0.921;observed
6;C2;2016;615.5;3890;0.913;observed
6;C3;2016;615.5;4497;0.969;observed
6;C4;2016;615.5;4408;0.751;observed
6;C5;2016;615.5;3791;0.598;observed
6;C6;2016;615.5;3904;0.692;observed
6;D1;2016;615.5;4571;0.649;observed
6;D2;2016;615.5;3731;0.694;observed
6;D3;2016;615.5;4420;0.746;observed
6;D4;2016;615.5;3495;0.633;observed
6;D5;2016;615.5;4101;0.642;observed
6;D6;2016;615.5;3977;0.683;observed
6;E1;2016;615.5;3733;0.757;observed
6;E2;2016;615.5;4540;0.795;observed
6;E3;2016;615.5;4109;0.747;observed
6;E4;2016;615.5;2939;0.675;observed
6;E5;2016;615.5;3873;0.763;observed
6;E6;2016;615.5;2673;0.711;observed
6;F1;2016;615.5;3610;0.755;observed
6;F2;2016;615.5;2827;0.751;observed
6;F3;2016;615.5;2842;0.786;observed
6;F4;2016;615.5;2781;0.948;observed
6;F5;2016;615.5;3051;0.731;observed
6;F6;2016;615.5;2182;0.611;observed
7;A1;2016;615.5;2542;0.617;observed
7;A2;2016;615.5;2713;0.66;observed
7;A3;2016;615.5;2745.5;0.944;observed
7;A4;2016;615.5;2534;0.799;observed
7;A5;2016;615.5;2770;0.713;observed
7;A6;2016;615.5;2798;0.527;observed
7;B1;2016;615.5;2018.5;0.625;observed
7;B2;2016;615.5;2679;0.819;observed
7;B3;2016;615.5;2531;0.879;observed
7;B4;2016;615.5;2767.5;0.678;observed
7;B5;2016;615.5;2788;0.826;observed
7;B6;2016;615.5;2497;0.68;observed
7;C1;2016;615.5;1917;1.016;observed
7;C2;2016;615.5;2961;0.838;observed
7;C3;2016;615.5;2496;0.899;observed
7;C4;2016;615.5;2573.5;0.9;observed
7;C5;2016;615.5;3356;0.783;observed
7;C6;2016;615.5;2232.5;0.747;observed
7;D1;2016;615.5;2374.5;1.246;observed
7;D2;2016;615.5;3127;1.133;observed
7;D3;2016;615.5;2954.5;0.787;observed
7;D4;2016;615.5;2294.5;0.699;observed
7;D5;2016;615.5;2647.5;0.79;observed
7;D6;2016;615.5;2449;0.863;observed
7;E1;2016;615.5;2344.5;0.732;observed
7;E2;2016;615.5;2376.5;0.758;observed
7;E3;2016;615.5;2361;0.738;observed
7;E4;2016;615.5;2232;0.803;observed
7;E5;2016;615.5;2330;0.761;observed
7;E6;2016;615.5;2284.5;0.835;observed
7;F1;2016;615.5;2531;0.843;observed
7;F2;2016;615.5;2180.5;0.995;observed
7;F3;2016;615.5;2551.5;0.926;observed
7;F4;2016;615.5;2317;0.739;observed
7;F5;2016;615.5;2495.5;0.772;observed
7;F6;2016;615.5;2124.5;0.924;observed
8;A1;2016;615.5;2929;1.016;observed
8;A2;2016;615.5;2624.5;1.154;observed
8;A3;2016;615.5;2228;1.262;observed
8;A4;2016;615.5;1872;0.867;observed
8;A5;2016;615.5;2143.5;0.931;observed
8;A6;2016;615.5;2750;1.023;observed
8;B1;2016;615.5;6320;1.14;observed
8;B2;2016;615.5;2405;1.25;observed
8;B3;2016;615.5;2057;0.964;observed
8;B4;2016;615.5;2563;1.015;observed
8;B5;2016;615.5;2390.5;1.025;observed
8;B6;2016;615.5;3182.5;0.983;observed
8;C1;2016;615.5;2767;1.338;observed
8;C2;2016;615.5;2307.5;1.004;observed
8;C3;2016;615.5;2143;1.044;observed
8;C4;2016;615.5;2333.5;1.033;observed
8;C5;2016;615.5;2314.5;0.863;observed
8;C6;2016;615.5;2844;1.007;observed
8;D1;2016;615.5;2850;0.888;observed
8;D2;2016;615.5;2072.5;1.103;observed
8;D3;2016;615.5;2009;0.73;observed
8;D4;2016;615.5;2044.5;0.803;observed
8;D5;2016;615.5;2015.5;0.999;observed
8;D6;2016;615.5;2320.5;0.89;observed
8;E1;2016;615.5;2429.5;0.88;observed
8;E2;2016;615.5;2252.4;0.957;observed
8;E3;2016;615.5;2381;0.762;observed
8;E4;2016;615.5;2712.5;0.834;observed
8;E5;2016;615.5;4000.5;0.911;observed
8;E6;2016;615.5;2165.5;1.108;observed
8;F1;2016;615.5;2193.5;0.665;observed
8;F2;2016;615.5;2560.5;1.105;observed
8;F3;2016;615.5;3053.5;1.146;observed
8;F4;2016;615.5;3120;0.825;observed
8;F5;2016;615.5;2268.5;0.699;observed
8;F6;2016;615.5;3121.7;0.827;observed
9;A1;2016;615.5;2583;1.026;observed
9;A2;2016;615.5;2394;1.474;observed
